Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Total Value,Price per Unit (sold),Approx. Total Revenue(INR),Production Date,Expiration Date
Kolkata,129.35,10,Small,2023-03-13,2,Paneer,Mother Dairy,442.81,33.55,47,Cold,535,Mumbai,Retail,401,66,149,14856.275499999998,32.65530421208318,17470.5877534645,2023-03-09,2023-04-25
Bangalore,250.57,38,Large,2020-10-27,9,Butter,Amul,654.59,32.01,55,Ambient,500,Kolkata,Wholesale,262,21,157,20953.4259,32.93363362999671,16466.816814998358,2020-10-23,2020-12-17
Chennai,764.84,60,Large,2020-07-18,4,Paneer,Nestle,270.67,76.11,19,Ambient,256,Bangalore,Retail,198,62,73,20600.6937,75.35110130797314,19289.881934841123,2020-07-16,2020-08-04
Bangalore,98.73,73,Large,2022-03-11,6,Curd,Amul,667.38,91.71,47,Frozen,739,Bangalore,Online,213,23,115,61205.419799999996,96.29205330378738,71159.82739149888,2022-03-09,2022-04-25
Bangalore,517.91,13,Medium,2021-04-11,7,Cheese,LocalFarm,999.98,80.75,7,Frozen,191,Kolkata,Online,265,82,59,80748.385,77.45177797904513,14793.28959399762,2021-04-10,2021-04-17
Mumbai,470.0,96,Large,2021-09-02,4,Cheese,Amul,615.52,70.67,6,Cold,404,Bangalore,Wholesale,26,78,106,43498.7984,71.04647540501631,28702.77606362659,2021-08-29,2021-09-04
Chennai,367.68,37,Large,2019-01-31,8,Cheese,Mother Dairy,646.94,35.9,47,Cold,465,Delhi,Wholesale,492,49,194,23225.146,36.9160956171249,17165.98446196308,2019-01-28,2019-03-16
Chennai,424.84,25,Medium,2019-08-11,10,Paneer,Mother Dairy,155.94,59.23,46,Cold,226,Mumbai,Online,67,21,87,9236.3262,60.27361271295764,13621.836473128427,2019-08-09,2019-09-24
Chennai,553.44,72,Small,2019-09-23,8,Butter,LocalFarm,433.21,31.33,39,Frozen,169,Chennai,Online,459,93,112,13572.469299999999,31.34749758109034,5297.727091204268,2019-09-19,2019-10-28
Bangalore,203.3,85,Small,2022-07-29,1,Butter,Mother Dairy,867.69,20.04,31,Ambient,755,Bangalore,Online,194,62,192,17388.5076,20.066270394012108,15150.034147479142,2022-07-26,2022-08-26
Kolkata,593.4,62,Small,2021-02-26,8,Milk,LocalFarm,842.56,20.83,9,Cold,590,Delhi,Retail,438,37,151,17550.5248,20.633009766375977,12173.475762161826,2021-02-22,2021-03-03
Chennai,815.16,94,Medium,2020-01-16,10,Butter,Nestle,546.28,64.34,19,Ambient,824,Mumbai,Wholesale,303,43,164,35147.6552,63.32536093547096,52180.09741082807,2020-01-13,2020-02-01
Bangalore,772.15,118,Large,2020-07-09,3,Butter,LocalFarm,908.28,13.46,40,Ambient,170,Delhi,Online,362,56,64,12225.4488,13.586075169322092,2309.6327787847554,2020-07-05,2020-08-14
Mumbai,196.2,26,Large,2019-03-03,5,Milk,LocalFarm,185.79,97.59,53,Frozen,692,Delhi,Online,322,49,196,18131.2461,100.01381801132999,69209.56206384035,2019-02-28,2019-04-22
Kolkata,191.79,49,Large,2020-12-13,10,Paneer,LocalFarm,675.28,99.59,37,Frozen,132,Mumbai,Wholesale,344,88,35,67251.1352,97.39175529087844,12855.711698395953,2020-12-10,2021-01-16
Mumbai,304.77,22,Large,2021-04-26,8,Paneer,Mother Dairy,286.44,23.45,5,Ambient,251,Bangalore,Wholesale,409,78,107,6717.018,24.497321301680596,6148.827646721829,2021-04-24,2021-04-29
Kolkata,393.02,61,Medium,2020-06-04,6,Curd,Nestle,663.28,48.46,16,Cold,507,Bangalore,Retail,423,42,94,32142.5488,47.80490996099755,24237.089350225757,2020-06-01,2020-06-17
Bangalore,438.03,67,Large,2021-12-30,4,Paneer,Amul,133.03,79.13,46,Frozen,402,Delhi,Online,326,49,139,10526.6639,78.60754188087213,31600.231836110597,2021-12-28,2022-02-12
Delhi,695.71,105,Small,2020-08-24,4,Cheese,Nestle,946.43,95.96,45,Ambient,393,Kolkata,Wholesale,301,87,114,90819.42279999999,95.10729974898938,37377.168801352826,2020-08-20,2020-10-04
Kolkata,103.85,46,Medium,2023-04-09,4,Cheese,Mother Dairy,797.02,90.22,13,Frozen,717,Bangalore,Retail,97,60,184,71907.1444,86.71350745426327,62173.58484470676,2023-04-08,2023-04-21
Mumbai,82.94,88,Medium,2019-05-20,6,Curd,Nestle,240.91,32.93,56,Ambient,770,Delhi,Online,201,70,168,7933.1663,31.66519516798992,24382.20027935224,2019-05-19,2019-07-14
Bangalore,422.32,85,Small,2022-09-01,7,Butter,Nestle,655.41,17.67,24,Frozen,266,Chennai,Retail,450,86,38,11581.0947,18.191743757222355,4839.003839421146,2022-08-28,2022-09-21
